"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.150274753570557,0.00261722458526492,0.00113507216030334,0.000361163879116952,6.7480351286939e-26
6,0.158266961574554,0.00906576216220856,0.00551123269469815,0.00309615533184323,1.8624997137026e-22
9,0.162979245185852,0.0187935996800661,0.0128658587536692,0.00866548195507001,1.67769450384601e-20
12,0.166339114308357,0.0311077442020178,0.0227389194055288,0.0167635134275994,3.77950402404054e-19
15,0.168954268097878,0.0450434871017933,0.0343604874123271,0.0267953714596032,4.02348053212275e-18
18,0.171097218990326,0.0596616566181183,0.0468851337661687,0.0379997025142165,2.66913482005753e-17
21,0.172913208603859,0.0741847828030586,0.0595675878608146,0.0496438797800515,1.28464074040131e-16
24,0.174489304423332,0.0880392640829086,0.0718319558895432,0.0611274202504381,4.88902176138821e-16
27,0.175881892442703,0.100849889218807,0.0832841041841977,0.0720139954899667,1.55659435299336e-15
30,0.177129417657852,0.112411767244339,0.0936931932762074,0.0820265883353207,4.31116519098037e-15
33,0.178259372711182,0.122653104364872,0.102959178998917,0.0910216624078685,1.06727820008948e-14
36,0.179292216897011,0.131596848368645,0.111077780685375,0.0989582207854042,2.40795559625648e-14
39,0.180243402719498,0.139325618743896,0.118107891412446,0.10586641621045,5.02879022332234e-14
42,0.181124955415726,0.145955413579941,0.124144838666354,0.111820392695459,9.83716892124196e-14
45,0.181946411728859,0.151616260409355,0.129300672083286,0.116917416741637,1.81936470012786e-13
48,0.182715490460396,0.156438305974007,0.133690682527199,0.121262804411288,3.2052187510026e-13
51,0.183438524603844,0.160543993115425,0.13742497108316,0.124960368235426,5.41182170691462e-13
54,0.184120714664459,0.164043948054314,0.140603933165618,0.128106613943261,8.80188825470862e-13
57,0.184766486287117,0.167035236954689,0.143316228380323,0.130787932598969,1.38483050981381e-12
60,0.185379520058632,0.169601321220398,0.145638315372635,0.133079666060049,2.1152556702736e-12
63,0.185963019728661,0.171812921762466,0.147635155382697,0.13504627756826,3.14632001008341e-12
66,0.18651969730854,0.173729375004768,0.149361378833128,0.136742197287297,4.56939434206882e-12
69,0.187051922082901,0.175400123000145,0.150862564231258,0.138212960282078,6.49409519215549e-12
72,0.18756178021431,0.176866084337234,0.152176467271519,0.139496376285158,9.04989885114338e-12
