"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.20331072807312,0.00361873651854694,0.00157752332896619,0.000504299293928143,1.91393038394269e-24
6,0.211554080247879,0.0123754944652319,0.00756203437250346,0.00426298186733427,5.20145345950444e-21
9,0.216298460960388,0.0254441127181053,0.0175129892063547,0.0118269232027949,4.65342602806953e-19
12,0.219628930091858,0.041853841394186,0.0307681542225781,0.0227323014573358,1.04383517956649e-17
15,0.222191378474236,0.0602962449193001,0.0462666526211284,0.0361481108846744,1.10581362256466e-16
18,0.224271550774574,0.0795188546180725,0.0628637024735282,0.0510360647225214,7.3140686190478e-16
21,0.226020678877831,0.0985002070665359,0.0795643306917462,0.0664121716743165,3.5086692360927e-15
24,0.227528542280197,0.116498030722141,0.0956120737585455,0.0814811121638783,1.33248133596278e-14
27,0.228853031992912,0.133037462830544,0.110499435031295,0.0956754784888464,4.23327991855727e-14
30,0.230033352971077,0.147870048880577,0.123939533005303,0.108643650414304,1.16982744563336e-13
33,0.231097429990768,0.160921320319176,0.13581961819772,0.120213721017565,2.8895749725269e-13
36,0.232065811753273,0.172238677740097,0.146152020836596,0.13034900424115,6.50896437442983e-13
39,0.232954040169716,0.181945741176605,0.1550297627816,0.139104434604565,1.35744768290508e-12
42,0.233774200081825,0.190206423401833,0.162590844682528,0.146590249877537,2.6516527688869e-12
45,0.234535843133926,0.197199240326881,0.168992187949021,0.152944415744019,4.89741233677954e-12
48,0.235246628522873,0.203101098537445,0.17439228321541,0.158312933674638,8.61660048867563e-12
51,0.235912829637527,0.208076909184456,0.178940596749583,0.162837378252269,1.4530513077482e-11
54,0.236539617180824,0.212274134159088,0.18277207975592,0.166648096845175,2.36047553031637e-11
57,0.237131327390671,0.215821355581284,0.186004881821012,0.16986066428235,3.70963884610553e-11
60,0.237691611051559,0.218828573822975,0.188740278862834,0.172575164464363,5.66021188252996e-11
63,0.238223597407341,0.221388444304466,0.191063769786759,0.174876650217183,8.41064023981986e-11
66,0.238729938864708,0.223578289151192,0.193046858684022,0.17683654616422,1.22028401272622e-10
69,0.239212974905968,0.225462183356285,0.194748832791912,0.178514232785012,1.73266748171308e-10
72,0.239674717187881,0.227092981338501,0.196218527739097,0.179958784111708,2.41241276954796e-10
75,0.24011692404747,0.228514075279236,0.197496048288978,0.181210584634461,3.29931110210069e-10
78,0.240541145205498,0.229761078953743,0.198614260215694,0.182302755484028,4.43908382274927e-10
81,0.240948796272278,0.230863153934479,0.19960009781477,0.183262419559577,5.88367354836805e-10
84,0.241341069340706,0.23184423148632,0.200475614997579,0.184111845865397,7.69148467139047e-10
87,0.24171906709671,0.232723891735077,0.201258839305585,0.184869186972338,9.92757875906136e-10
90,0.242083787918091,0.23351825773716,0.201964570826906,0.185549370117038,1.26638222130993e-09
93,0.242436110973358,0.23424057662487,0.20260497343694,0.186164622749156,1.59789670384214e-09
96,0.242776826024055,0.23490172624588,0.203190028294767,0.186724972648901,1.99586969173993e-09
99,0.243106663227081,0.23551070690155,0.203727983101269,0.18723870778085,2.46956255445241e-09
102,0.243426308035851,0.236074954271317,0.204225661493864,0.187712685688696,3.02892488868167e-09
105,0.243736326694489,0.236600682139397,0.204688662245862,0.18815253693288,3.68458596966548e-09
108,0.244037285447121,0.23709300160408,0.205121738592895,0.188562976604476,4.44784253872399e-09
111,0.244329690933228,0.237556219100952,0.205528793994628,0.188947908163149,5.33064214991441e-09
114,0.244614005088806,0.237993940711021,0.205913087691543,0.189310586611098,6.34556363010574e-09
117,0.244890660047531,0.23840919137001,0.206277370330027,0.189653760475567,7.50579687291975e-09
120,0.245160043239594,0.238804504275322,0.206623947536638,0.189979718429978,8.82511574928913e-09
135,0.246409833431244,0.24054753780365,0.208150278674398,0.191409859590697,1.83275599141552e-08
150,0.247522994875908,0.242012023925781,0.209431961219276,0.192605502848979,3.41585781882259e-08
165,0.248526036739349,0.243286296725273,0.210547795468606,0.193643818881918,5.85134252162334e-08
180,0.249438494443893,0.244418323040009,0.211540223599475,0.194565866066839,9.37096231723444e-08
195,0.250275105237961,0.245437383651733,0.212434878754187,0.195396258238718,1.42086250320972e-07
210,0.251047283411026,0.246363192796707,0.213248928102533,0.19615128100425,2.05916819595586e-07
225,0.25176414847374,0.247210100293159,0.213994758029828,0.19684265109986,2.87340554905313e-07
240,0.25243291258812,0.247989133000374,0.214681894079612,0.197479330377302,3.88313679877683e-07
255,0.253059536218643,0.248709112405777,0.215317977878136,0.198068453987876,5.10579866386252e-07
270,0.253648936748505,0.249377310276031,0.215909265132749,0.198615896193361,6.55658823234262e-07
285,0.254205197095871,0.24999988079071,0.2164610642943,0.199126617905307,8.24848996217042e-07
300,0.254731774330139,0.250582069158554,0.216977908207644,0.199604823501554,1.01924410955689e-06
315,0.255231618881226,0.251128405332565,0.217463734238723,0.200054189693567,1.23975962651457e-06
330,0.255707263946533,0.251642882823944,0.21792194996796,0.200477888837004,1.48716458170384e-06
345,0.256160914897919,0.25212898850441,0.218355623913052,0.200878779654498,1.76211790403613e-06
360,0.256594479084015,0.252589821815491,0.218767417716421,0.201259335184826,2.06520689971512e-06
375,0.257009595632553,0.253028124570847,0.21915972600859,0.201621763574012,2.39698488258e-06
390,0.257407784461975,0.253446340560913,0.219534646740193,0.201968054696445,2.75800857707509e-06
405,0.257790297269821,0.253846645355225,0.219894097734791,0.202299948367754,3.14887006425124e-06
420,0.258158326148987,0.254230946302414,0.22023970437434,0.202618989442495,3.57022781827254e-06
435,0.258512914180756,0.254600942134857,0.220572996679405,0.202926572316142,4.02282967115752e-06
450,0.258854955434799,0.254958212375641,0.220895271564923,0.203223919733661,4.50753395853098e-06
465,0.259185314178467,0.255304038524628,0.221207683963315,0.203512110338358,5.02532338941819e-06
480,0.259504735469818,0.255639612674713,0.221511270135045,0.203792101982443,5.57731573280762e-06
495,0.259813874959946,0.255966007709503,0.221806937072914,0.204064727488742,6.16476700088242e-06
510,0.260113418102264,0.256284117698669,0.222095473097766,0.204330737033545,6.78907326800982e-06
525,0.260403871536255,0.256594747304916,0.222377545739349,0.204590755763756,7.45176521377289e-06
540,0.26068577170372,0.256898581981659,0.222653771668001,0.204845330418026,8.15450130176032e-06
555,0.260959595441818,0.257196247577667,0.222924663716099,0.20509496959045,8.89905822987203e-06
570,0.261225789785385,0.257488250732422,0.223190656307765,0.20534006956059,9.68731546890922e-06
585,0.261484742164612,0.257775038480759,0.223452143603421,0.205580986344313,1.05212393464171e-05
600,0.261736810207367,0.258056998252869,0.223709411687244,0.205818025098074,1.14028698590118e-05
615,0.261982381343842,0.258334428071976,0.223962761477406,0.206051412570074,1.23342979350127e-05
630,0.262221693992615,0.258607625961304,0.224212402768972,0.20628137338937,1.33176499730325e-05
645,0.262455105781555,0.258876800537109,0.224458538999578,0.206508094040463,1.43550641951151e-05
660,0.262682884931564,0.259142160415649,0.22470129096032,0.206731693195308,1.5448677004315e-05
675,0.262905240058899,0.259403824806213,0.224940802752861,0.206952300121571,1.66006011568243e-05
690,0.26312243938446,0.259661942720413,0.225177154904596,0.207170010180644,1.78129066625843e-05
705,0.263334721326828,0.259916603565216,0.225410455491771,0.207384878470221,1.90876089618541e-05
720,0.263542234897614,0.260167866945267,0.225640729944091,0.207596981279415,2.04266489163274e-05
735,0.263745218515396,0.260415852069855,0.225868031240108,0.207806339799647,2.18318728002487e-05
750,0.263943821191788,0.260660529136658,0.226092382690382,0.20801298793719,2.3305034119403e-05
765,0.264138221740723,0.260901987552643,0.226313835154325,0.208216949002607,2.48477645072853e-05
780,0.264328598976135,0.26114022731781,0.2265323716788,0.208418237829892,2.64615773630794e-05
795,0.264515072107315,0.261375278234482,0.22674799650209,0.20861683958505,2.81478478427744e-05
810,0.264697790145874,0.261607140302658,0.226960741411327,0.208812805127491,2.9907814678154e-05
825,0.264876902103424,0.261835813522339,0.22717057461938,0.209006085716949,3.17425692628603e-05
840,0.265052497386932,0.262061297893524,0.227377508841101,0.209196694068274,3.36530501954257e-05
855,0.265224725008011,0.262283623218536,0.227581531361637,0.209384634419751,3.56400414602831e-05
870,0.265393674373627,0.262502759695053,0.227782657014984,0.209569902533096,3.7704172427766e-05
885,0.265559434890747,0.262718707323074,0.227980868848004,0.209752500527451,3.98459196730983e-05
900,0.265722155570984,0.262931495904922,0.228176164741556,0.209932392377401,4.20655887864996e-05
915,0.265881896018982,0.263141095638275,0.228368527742503,0.21010961198922,4.43633434770163e-05
930,0.266038745641708,0.263347506523132,0.228557995995402,0.210284144528912,4.67391910206061e-05
945,0.266192764043808,0.263550788164139,0.228744529236554,0.210456004830471,4.91929858981166e-05
960,0.26634407043457,0.26375088095665,0.228928167729659,0.210625178059905,5.17244370712433e-05
975,0.266492754220963,0.263947814702988,0.229108892402437,0.210791681170349,5.43331116205081e-05
990,0.266638815402985,0.264141619205475,0.229286737161161,0.210955531114939,5.70184347452596e-05
1005,0.266782402992249,0.264332294464111,0.229461687171838,0.211116713059681,5.97797043155879e-05
1020,0.266923516988754,0.264519870281219,0.229633778459882,0.211275277863985,6.2616090872325e-05
1035,0.267062246799469,0.264704346656799,0.229803011025293,0.211431193740719,6.55266485409811e-05
1050,0.26719868183136,0.264885753393173,0.229969423012629,0.211584513668435,6.85103077557869e-05
1065,0.267332822084427,0.265064090490341,0.230133014421888,0.211735256719412,7.15659043635242e-05
1080,0.267464756965637,0.265239417552948,0.230293821278486,0.211883422893649,7.46921577956527e-05
1095,0.267594516277313,0.265411764383316,0.230451879607839,0.212029050335704,7.78877074480988e-05
1110,0.2677221596241,0.265581130981445,0.230607178814235,0.212172158117855,8.11510908533819e-05
1125,0.267847716808319,0.265747547149658,0.230759784591078,0.212312763193238,8.44807727844454e-05
1140,0.267971277236938,0.265911072492599,0.23090971812979,0.212450905825552,8.78751525306143e-05
1155,0.268092840909958,0.266071736812592,0.231057002740932,0.212586622040214,9.13325347937644e-05
1170,0.268212467432022,0.266229569911957,0.231201672330778,0.2127199309095,9.48511951719411e-05
1185,0.268330186605453,0.266384571790695,0.231343762924742,0.212850868458826,9.84293292276561e-05
1200,0.268446058034897,0.266536861658096,0.231483314786523,0.212979455879612,0.000102065088867676
1215,0.268560081720352,0.266686409711838,0.231620366060679,0.213105731316416,0.00010575658234302
1230,0.268672347068787,0.266833275556564,0.231754933700346,0.213229747747788,0.00010950188152492
1245,0.268782824277878,0.266977488994598,0.23188707492236,0.213351507292872,0.00011329902918078
1260,0.268891602754593,0.267119109630585,0.232016825752135,0.213471067168502,0.000117146031698212
1275,0.268998652696609,0.267258167266846,0.232144207381092,0.213588444327815,0.000121040873636957
1290,0.269104063510895,0.267394721508026,0.232269293979202,0.213703695987646,0.000124981525004841
1305,0.269207835197449,0.267528772354126,0.232392083427325,0.21381685817341,0.00012896595580969
1320,0.269310027360916,0.267660409212112,0.232512637180579,0.213927935123392,0.000132992092403583
1335,0.269410610198975,0.267789632081985,0.232630970072958,0.214036998888421,0.000137057882966474
1350,0.269509673118591,0.26791650056839,0.232747158393578,0.214144049468497,0.000141161261126399
1365,0.269607186317444,0.26804107427597,0.232861221214716,0.214249161033592,0.000145300189615227
1380,0.269703209400177,0.26816338300705,0.232973194561787,0.214352337821991,0.000149472587509081
1395,0.269797772169113,0.26828345656395,0.233083118698491,0.214453630693102,0.000153676432091743
1410,0.269890874624252,0.268401324748993,0.233191027531099,0.214553065076631,0.000157909671543166
1425,0.269982546567917,0.268517076969147,0.233296963442454,0.214650689712844,0.000162170297699049
1440,0.270072817802429,0.268630683422089,0.233400960338829,0.214746510959168,0.000166456316947006
1455,0.270161718130112,0.268742233514786,0.233503058483921,0.214840600866433,0.000170765735674649
1470,0.270249247550964,0.268851757049561,0.23360327695001,0.214932961553781,0.00017509660392534
1485,0.27033543586731,0.268959283828735,0.233701685668784,0.215023626927484,0.000179446971742436
1500,0.27042031288147,0.269064873456955,0.233798288878527,0.21511265632352,0.000183814932825044
1515,0.270503878593445,0.269168525934219,0.233893141676931,0.215200051861031,0.000188198595424183
1530,0.270586162805557,0.269270300865173,0.233986248302282,0.215285864399427,0.000192596125998534
1545,0.270667195320129,0.269370228052139,0.234077678686267,0.215370098176991,0.000197005676454864
1560,0.270746976137161,0.26946833729744,0.234167451901165,0.215452825244555,0.000201425471459515
1575,0.270825535058975,0.269564688205719,0.234255589138396,0.215534030768122,0.000205853721126914
1590,0.270902901887894,0.269659280776978,0.234342128542517,0.215613786798523,0.000210288737434894
1605,0.270979076623917,0.26975217461586,0.234427089185806,0.215692076382622,0.000214728788705543
1620,0.271054059267044,0.269843399524689,0.234510540999952,0.215768954618112,0.000219172245124355
1635,0.271127909421921,0.269932955503464,0.23459246915096,0.215844459649549,0.00022361746232491
1650,0.271200597286224,0.270020931959152,0.23467291390253,0.215918591476935,0.000228062868700363
1665,0.2712721824646,0.270107299089432,0.234751909160933,0.215991386125684,0.000232506907195784
1680,0.271342664957047,0.27019214630127,0.234829493070727,0.216062866906359,0.000236948093515821
1695,0.271412044763565,0.270275443792343,0.234905682585049,0.216133084678368,0.000241384914261289
1710,0.271480351686478,0.270357251167297,0.234980501014461,0.216202024607718,0.000245815957896411
1725,0.271547585725784,0.270437598228455,0.235053984384378,0.216269724838965,0.000250239827437326
1740,0.271613776683807,0.270516514778137,0.235126147528794,0.216336219278383,0.000254655169555917
1755,0.271678954362869,0.270594030618668,0.235197015877415,0.21640152699825,0.000259060674579814
1770,0.271743088960648,0.270670145750046,0.235266623336512,0.21646565223685,0.000263455032836646
1785,0.271806240081787,0.270744889974594,0.235334969906086,0.216528647972734,0.000267837021965533
1800,0.271868407726288,0.270818322896957,0.235402112802973,0.216590516325045,0.000272205419605598
1815,0.27192959189415,0.270890444517136,0.235468068980309,0.216651274246918,0.000276559090707451
1830,0.271989822387695,0.270961284637451,0.235532840557236,0.21671095776377,0.000280896871117875
1845,0.272049099206924,0.271030873060226,0.235596446606032,0.216769590186162,0.000285217713098973
1860,0.27210745215416,0.271099209785461,0.235658942224391,0.21682716727581,0.000289520539809018
1875,0.272164881229401,0.271166354417801,0.235720308340034,0.216883712343277,0.000293804361717775
1890,0.272221386432648,0.271232306957245,0.235780602169798,0.216939276247972,0.000298068160191178
1905,0.272276997566223,0.271297067403793,0.235839823713681,0.216993827202765,0.000302311003906652
1920,0.272331744432449,0.271360695362091,0.235897992043963,0.217047435139344,0.000306532019749284
1935,0.272385597229004,0.271423190832138,0.235955126232922,0.217100085223713,0.000310730305500329
1950,0.272438615560532,0.271484583616257,0.236011245352836,0.217151796528152,0.000314905075356364
1965,0.27249076962471,0.271544903516769,0.236066383309978,0.217202583886654,0.000319055456202477
1980,0.272542119026184,0.271604120731354,0.236120527389496,0.217252487562919,0.000323180720442906
